,Player,Agents,Rnd,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
52,"mitch
C9",(+1),236,184.6,0.97,,122.9,0.64,0.18,0.08,0.06,17%,19%,5/27,26,152,156,42,20,15
53,"Munchkin
CR",,76,183.3,0.74,,125.9,0.61,0.33,0.13,0.18,31%,,0/8,20,46,62,25,10,14
54,"sutecas
VKS",,145,182.9,1.03,,125.9,0.70,0.30,0.06,0.09,29%,18%,5/28,18,101,98,44,8,13
55,"BONECOLD
ACE",(+1),283,181.2,0.99,,122.2,0.65,0.29,0.07,0.10,31%,22%,8/36,19,185,187,83,19,28
56,"L1NK
TL",,187,181.1,0.98,,123.3,0.64,0.25,0.08,0.05,33%,12%,3/26,20,120,123,47,15,10
57,"xeta
C9",,236,179.9,1.01,,124.8,0.65,0.37,0.05,0.04,24%,13%,4/30,23,153,151,87,12,9
58,"SuperBusS
FS",,82,179.3,0.85,,130.4,0.63,0.22,0.04,0.06,24%,8%,1/12,19,52,61,18,3,5
59,"k1Ng
VS",,147,177.3,0.96,,121.4,0.61,0.21,0.08,0.10,28%,17%,3/18,19,90,94,31,12,15
60,"Klaus
KRÜ",,317,174.9,0.87,,115.7,0.60,0.23,0.08,0.11,22%,26%,10/38,25,190,218,73,24,36
61,"Rb
VS",,170,174.5,0.98,,115.3,0.62,0.29,0.11,0.10,31%,22%,4/18,18,106,108,49,18,17
62,"murizzz
VK",(+1),91,173.8,0.83,,119.0,0.63,0.26,0.07,0.12,23%,13%,1/8,20,57,69,24,6,11
63,"Crws
X10C",,208,170.5,0.82,,110.7,0.60,0.43,0.11,0.11,23%,25%,4/16,19,124,151,90,22,22
64,"frz
VKS",,145,169.3,0.77,,116.3,0.59,0.24,0.10,0.12,26%,15%,2/13,20,86,112,35,14,18
65,"PTC
FS",,82,168.8,0.77,,118.5,0.59,0.32,0.15,0.16,25%,9%,1/11,19,48,62,26,12,13
66,"JhoW
VK",(+1),91,168.2,0.63,,113.5,0.51,0.27,0.09,0.11,21%,7%,1/15,14,46,73,25,8,10
67,"Boaster
FNC",,207,166.9,0.89,,117.8,0.57,0.34,0.04,0.09,18%,6%,1/16,22,118,132,70,8,19
68,"BORKUM
TS",,163,165.8,0.98,,111.0,0.63,0.25,0.07,0.09,19%,38%,6/16,19,103,105,41,11,14
69,"sScary
X10C",,208,165.1,0.88,,116.3,0.58,0.36,0.04,0.10,23%,4%,1/27,17,121,137,74,8,20
70,"neth
CR",,76,164.3,0.66,,107.3,0.54,0.41,0.04,0.07,25%,7%,1/15,16,41,62,31,3,5
